,MedInc,HouseAge,TotalRooms,TotalBedRooms,Population,Households,Latitude,Longitude,MedHouseVal
9110,2.3958,33.0,2189.0,497.0,1459.0,443.0,34.6,-118.12,0.945
8671,5.1589,35.0,3053.0,623.0,1311.0,589.0,33.82,-118.38,4.392
18154,3.9848,27.0,2621.0,513.0,1063.0,523.0,37.36,-122.05,4.097
15839,4.875,52.0,3521.0,767.0,1415.0,687.0,37.75,-122.43,3.622
10136,3.8333,34.0,1473.0,312.0,1025.0,315.0,33.92,-117.89,1.704
7785,1.875,41.0,550.0,129.0,642.0,125.0,33.9,-118.05,1.199
7385,2.5536,37.0,1212.0,314.0,1403.0,279.0,33.97,-118.24,1.172
15341,4.3428,20.0,4835.0,854.0,2983.0,834.0,33.2,-117.28,1.521
2709,2.1792,18.0,1564.0,340.0,1161.0,343.0,32.79,-115.69,0.552
16320,3.9615,11.0,4487.0,868.0,2195.0,780.0,37.99,-121.34,1.946
12742,3.058,34.0,2447.0,503.0,1077.0,456.0,38.62,-121.36,1.33
2616,2.5893,18.0,2250.0,484.0,1248.0,472.0,40.95,-124.09,0.996
20033,1.5911,29.0,2610.0,597.0,1659.0,571.0,36.07,-119.02,0.608
18671,3.5112,19.0,4920.0,1092.0,1807.0,922.0,36.97,-121.91,2.319
17455,3.87,26.0,2353.0,389.0,1420.0,389.0,34.7,-120.43,1.258
20174,5.2681,21.0,259.0,38.0,142.0,45.0,34.31,-119.17,5.00001
12630,2.7368,29.0,3606.0,690.0,2317.0,696.0,38.49,-121.5,0.782
15906,5.5563,52.0,1842.0,339.0,1032.0,357.0,37.74,-122.41,2.508
3834,2.936,17.0,2934.0,950.0,2517.0,889.0,34.2,-118.44,2.325
15944,3.6885,49.0,3427.0,696.0,2363.0,661.0,37.72,-122.43,2.54
9407,6.7546,36.0,1760.0,283.0,562.0,246.0,37.9,-122.56,4.024
6626,3.3068,50.0,1493.0,326.0,1000.0,323.0,34.18,-118.14,1.544
8273,2.875,29.0,3078.0,786.0,1460.0,736.0,33.77,-118.16,2.325
5763,4.3438,42.0,413.0,107.0,349.0,107.0,34.16,-118.29,1.898
14696,4.0982,36.0,1529.0,266.0,683.0,260.0,32.79,-117.09,1.712
16231,3.0625,47.0,3386.0,663.0,1228.0,619.0,37.98,-121.31,1.415
20266,3.087,46.0,2062.0,484.0,1522.0,469.0,34.21,-119.18,2.139
13772,4.7193,15.0,5592.0,891.0,2419.0,840.0,34.01,-117.01,1.352
11186,6.3214,34.0,982.0,148.0,498.0,156.0,33.83,-117.96,2.208
17487,3.0773,15.0,1482.0,345.0,669.0,379.0,34.43,-119.82,1.125
17596,4.5795,28.0,3085.0,552.0,1277.0,512.0,37.31,-121.88,2.628
1128,2.5428,31.0,2431.0,512.0,1026.0,427.0,39.76,-121.61,0.85
16992,4.9434,17.0,3211.0,847.0,1553.0,812.0,37.56,-122.27,2.921
18032,5.5944,19.0,1741.0,294.0,632.0,279.0,37.24,-121.94,2.905
7696,5.752,35.0,1604.0,280.0,802.0,280.0,33.95,-118.12,2.91
20014,2.9208,28.0,1148.0,233.0,521.0,212.0,36.04,-118.92,0.985
10033,2.1419,30.0,2188.0,455.0,1033.0,437.0,39.22,-121.08,1.052
5514,2.825,39.0,1613.0,380.0,1113.0,356.0,33.99,-118.4,2.767
5266,8.8619,41.0,1482.0,239.0,617.0,242.0,34.04,-118.55,5.00001
3648,2.585,19.0,9902.0,2814.0,7307.0,2660.0,34.23,-118.46,1.454
14619,3.6375,24.0,3566.0,765.0,1697.0,722.0,32.78,-117.16,1.786
2620,2.8182,12.0,2497.0,491.0,1153.0,462.0,40.92,-124.09,1.269
16597,3.8158,14.0,5020.0,909.0,2105.0,796.0,35.69,-120.9,2.487
6798,3.665,52.0,695.0,145.0,523.0,170.0,34.07,-118.14,2.204
8695,5.259,36.0,2223.0,360.0,1162.0,376.0,33.86,-118.34,2.794
10272,3.0227,16.0,1332.0,368.0,1534.0,295.0,33.87,-117.87,2.971
377,3.8047,35.0,667.0,140.0,406.0,133.0,37.75,-122.16,0.943
13868,5.0198,9.0,2404.0,390.0,1074.0,359.0,34.35,-117.31,1.519
3309,1.7566,25.0,661.0,144.0,192.0,93.0,38.94,-122.63,0.49
11324,4.2813,24.0,1328.0,290.0,1012.0,306.0,33.76,-117.96,1.895
2939,2.1078,30.0,2294.0,508.0,1753.0,482.0,35.36,-118.95,0.547
3994,6.0928,35.0,2072.0,318.0,908.0,342.0,34.17,-118.57,3.273
2807,3.1736,39.0,2033.0,370.0,956.0,379.0,35.43,-119.02,0.707
5192,1.1326,42.0,1433.0,295.0,775.0,293.0,33.93,-118.26,1.048
13510,0.7069,29.0,331.0,85.0,341.0,107.0,34.13,-117.34,0.703
11001,9.3845,26.0,2955.0,377.0,1074.0,373.0,33.75,-117.79,5.00001
18306,7.313,35.0,3905.0,565.0,1562.0,553.0,37.43,-122.11,4.637
16842,5.748,28.0,4946.0,848.0,2683.0,824.0,37.63,-122.45,3.021
14186,2.4135,36.0,2103.0,390.0,1279.0,392.0,32.7,-117.08,0.97
19494,3.0721,37.0,2483.0,459.0,1072.0,445.0,37.67,-121.01,1.081
20092,3.1076,17.0,8651.0,1579.0,2071.0,757.0,38.03,-120.19,1.158
3705,3.0491,41.0,2000.0,485.0,1439.0,461.0,34.19,-118.39,1.92
16180,1.1094,49.0,1200.0,364.0,1448.0,318.0,37.95,-121.28,0.525
9891,2.2366,23.0,1398.0,388.0,1112.0,406.0,38.29,-122.28,1.402
2035,2.0536,42.0,1236.0,272.0,946.0,261.0,36.73,-119.74,0.5
8575,5.308,37.0,1576.0,345.0,662.0,340.0,33.9,-118.42,5.00001
11140,3.4028,32.0,1378.0,492.0,1202.0,448.0,33.84,-117.95,1.837
18145,7.5372,28.0,3081.0,460.0,1260.0,461.0,37.34,-122.04,4.326
5419,3.9091,38.0,2172.0,437.0,830.0,368.0,34.02,-118.43,5.00001
12175,2.0,5.0,2108.0,496.0,1666.0,461.0,33.77,-117.23,0.83
10323,7.7752,23.0,1986.0,278.0,826.0,260.0,33.81,-117.78,3.8
1337,4.8542,17.0,2713.0,442.0,1475.0,415.0,38.0,-121.87,1.441
240,2.7352,46.0,2239.0,508.0,1390.0,569.0,37.78,-122.21,1.373
1895,2.2056,22.0,2138.0,493.0,829.0,330.0,38.91,-120.02,1.072
9925,6.1953,14.0,6778.0,947.0,2768.0,1014.0,38.31,-122.33,2.589
3466,4.8988,13.0,2664.0,518.0,1468.0,521.0,34.32,-118.47,3.252
19167,1.6267,23.0,1569.0,414.0,1031.0,368.0,38.42,-122.71,1.292
4516,2.3716,52.0,1754.0,452.0,1849.0,445.0,34.03,-118.2,1.228
694,2.3274,29.0,1298.0,306.0,835.0,338.0,37.7,-122.11,1.704
2621,5.0329,14.0,1452.0,217.0,516.0,181.0,40.94,-124.05,1.656
1071,2.2621,43.0,2976.0,599.0,1181.0,560.0,39.74,-121.84,0.851
4248,4.0965,23.0,4574.0,1423.0,1624.0,995.0,34.14,-118.32,5.00001
19378,3.3182,46.0,431.0,86.0,239.0,80.0,37.77,-120.69,2.821
17185,4.8405,17.0,11999.0,2249.0,5467.0,1989.0,37.43,-122.43,3.543
4362,5.7524,52.0,1466.0,254.0,600.0,253.0,34.08,-118.37,3.936
16660,4.6719,24.0,3504.0,521.0,1490.0,506.0,35.31,-120.7,3.37
909,4.9167,34.0,2791.0,495.0,1276.0,468.0,37.55,-122.01,2.563
7003,4.0379,34.0,2142.0,390.0,1305.0,406.0,33.98,-118.05,1.728
3480,7.7464,28.0,2272.0,320.0,868.0,312.0,34.29,-118.52,4.746
17938,3.4233,29.0,3377.0,853.0,1674.0,792.0,37.34,-121.94,2.293
19221,3.9261,23.0,3220.0,603.0,1299.0,591.0,38.46,-122.71,2.133
6687,3.375,42.0,3200.0,685.0,1668.0,628.0,34.14,-118.07,2.604
8983,3.8021,45.0,2092.0,451.0,1190.0,429.0,33.99,-118.43,3.23
4096,4.1656,24.0,3891.0,866.0,1568.0,830.0,34.15,-118.41,3.647
11005,8.5403,23.0,3596.0,451.0,1292.0,458.0,33.77,-117.79,4.513
6229,4.0333,32.0,3418.0,662.0,2003.0,622.0,34.06,-117.94,2.102
17251,2.5978,52.0,302.0,112.0,392.0,114.0,34.42,-119.69,2.583
4790,1.8783,45.0,1667.0,399.0,928.0,375.0,34.02,-118.33,1.182
7339,2.3068,23.0,1516.0,457.0,1977.0,435.0,33.97,-118.16,1.578
11546,5.3559,26.0,2532.0,421.0,1274.0,441.0,33.74,-118.04,2.358
3150,3.4911,6.0,3660.0,646.0,1243.0,482.0,35.08,-118.61,1.372
4704,3.9167,52.0,2530.0,458.0,1122.0,449.0,34.05,-118.34,3.216
14144,3.5078,33.0,3260.0,673.0,1784.0,666.0,32.74,-117.08,1.265
3692,1.8929,41.0,337.0,65.0,198.0,50.0,34.21,-118.36,1.529
17732,5.7843,15.0,1794.0,366.0,1533.0,371.0,37.31,-121.81,2.099
17188,6.2263,52.0,573.0,102.0,232.0,92.0,37.39,-122.33,5.00001
12868,4.5432,2.0,21897.0,3513.0,8652.0,2873.0,38.72,-121.35,1.513
18787,2.1496,16.0,3552.0,704.0,1801.0,658.0,40.47,-122.43,0.977
4487,1.6667,46.0,1051.0,302.0,1435.0,305.0,34.05,-118.19,1.336
3612,4.5833,35.0,1507.0,281.0,1025.0,286.0,34.24,-118.42,1.772
7072,3.488,23.0,4815.0,1081.0,3232.0,1016.0,33.94,-118.02,1.918
2893,1.4773,36.0,832.0,198.0,814.0,174.0,35.37,-118.99,0.574
16314,2.6765,20.0,1903.0,395.0,919.0,359.0,38.01,-121.32,0.964
6351,5.411,33.0,1620.0,283.0,868.0,275.0,34.14,-117.94,2.194
140,6.3624,30.0,292.0,38.0,126.0,52.0,37.81,-122.18,4.833
17577,4.0474,30.0,1680.0,312.0,858.0,310.0,37.31,-121.94,2.805
7004,3.6,36.0,2854.0,688.0,2816.0,673.0,33.97,-118.05,1.54
5663,2.1935,52.0,2085.0,588.0,1767.0,516.0,33.73,-118.28,2.432
6869,2.8229,16.0,2416.0,565.0,1750.0,514.0,34.06,-118.11,1.637
513,8.1872,52.0,3051.0,381.0,1005.0,369.0,37.82,-122.23,4.661
12906,3.9063,20.0,5801.0,1148.0,2586.0,1063.0,38.61,-121.34,1.621
2799,2.1,19.0,619.0,239.0,490.0,164.0,36.4,-117.02,0.14999
15210,5.1909,16.0,2175.0,327.0,1037.0,326.0,32.99,-117.09,2.014
7237,2.7083,45.0,1179.0,268.0,736.0,252.0,34.01,-118.13,1.618
861,3.6832,20.0,4126.0,1031.0,2079.0,975.0,37.58,-121.98,2.169
15969,3.4773,47.0,2289.0,481.0,1697.0,465.0,37.71,-122.41,2.263
4799,2.1324,36.0,1083.0,342.0,1023.0,295.0,34.03,-118.36,1.438
2578,3.2216,34.0,4183.0,702.0,1891.0,669.0,40.86,-124.06,0.981
40,2.0978,52.0,1665.0,419.0,946.0,395.0,37.83,-122.26,1.554
8627,5.9683,33.0,2543.0,439.0,1098.0,416.0,33.88,-118.39,4.955
16189,1.2962,52.0,1610.0,480.0,1025.0,440.0,37.97,-121.29,1.102
14268,2.725,39.0,395.0,159.0,620.0,162.0,32.69,-117.11,0.865
9546,2.6923,14.0,1979.0,432.0,1756.0,382.0,37.38,-120.71,0.714
20234,4.09,44.0,1312.0,279.0,668.0,278.0,34.27,-119.27,2.038
127,6.0194,44.0,3424.0,597.0,1358.0,597.0,37.84,-122.21,2.923
12213,6.993,13.0,270.0,42.0,120.0,42.0,33.51,-117.18,5.00001
18288,7.8177,36.0,3598.0,500.0,1296.0,533.0,37.38,-122.11,5.00001
9271,6.4092,14.0,2259.0,341.0,1127.0,346.0,38.15,-122.62,3.349
4633,1.7365,24.0,4021.0,1707.0,3727.0,1529.0,34.07,-118.29,1.125
7907,6.3093,19.0,8120.0,1371.0,5026.0,1345.0,33.85,-118.09,2.865
9461,2.325,24.0,1421.0,291.0,588.0,274.0,39.5,-123.79,1.573
18015,5.5151,31.0,3347.0,589.0,1566.0,597.0,37.27,-121.96,2.868
3826,2.5842,18.0,2729.0,800.0,2099.0,742.0,34.2,-118.45,2.308
5288,4.175,27.0,4401.0,1033.0,1725.0,962.0,34.05,-118.47,5.00001
13402,0.8926,10.0,714.0,131.0,381.0,119.0,34.14,-117.46,1.161
10575,7.5619,15.0,5394.0,748.0,2383.0,706.0,33.65,-117.69,3.02
13960,3.5288,16.0,3018.0,523.0,556.0,244.0,34.25,-116.9,1.897
6201,3.1949,25.0,2115.0,489.0,1107.0,477.0,34.08,-117.89,2.074
10264,5.5918,20.0,4026.0,648.0,1997.0,650.0,33.9,-117.85,2.605
14578,3.337,35.0,2772.0,537.0,1392.0,521.0,32.82,-117.2,1.723
6219,5.112,29.0,3250.0,521.0,1382.0,513.0,34.06,-117.91,2.183
18865,3.1848,43.0,1939.0,353.0,968.0,392.0,38.11,-122.22,1.127
11161,2.4609,23.0,1086.0,268.0,825.0,250.0,33.83,-118.01,2.196
6637,2.575,39.0,2776.0,840.0,2546.0,773.0,34.16,-118.14,1.535
12361,1.7204,5.0,5480.0,1371.0,1050.0,485.0,33.84,-116.48,1.375
13514,3.3516,26.0,1008.0,164.0,568.0,196.0,34.12,-117.34,1.056
7476,2.5185,36.0,1191.0,345.0,1193.0,295.0,33.93,-118.2,1.388
6407,7.7307,34.0,1966.0,319.0,980.0,297.0,34.13,-118.02,4.29
3698,2.3182,38.0,1363.0,395.0,1798.0,405.0,34.21,-118.38,1.712
15265,3.5179,12.0,4459.0,928.0,2471.0,888.0,33.04,-117.28,2.527
9215,2.6694,18.0,1277.0,234.0,674.0,238.0,37.11,-120.27,0.759
11854,2.2717,18.0,3406.0,673.0,1567.0,617.0,39.83,-120.46,0.759
16223,3.066,37.0,3247.0,643.0,1737.0,665.0,37.98,-121.32,0.941
7941,3.0405,43.0,1633.0,355.0,837.0,350.0,33.87,-118.12,1.88
14884,3.7583,37.0,2372.0,444.0,1056.0,419.0,32.63,-117.07,1.455
528,3.4531,52.0,1527.0,320.0,825.0,264.0,37.77,-122.25,2.088
13821,5.4201,9.0,4055.0,536.0,1458.0,478.0,34.49,-117.23,1.706
3299,1.6865,19.0,2230.0,538.0,832.0,359.0,38.95,-122.62,0.588
7543,1.9583,41.0,941.0,233.0,973.0,253.0,33.9,-118.21,1.023
19240,5.5061,17.0,1090.0,164.0,473.0,163.0,38.48,-122.65,2.318
7249,2.8155,27.0,2316.0,559.0,2012.0,544.0,33.99,-118.12,1.768
10231,5.5867,35.0,931.0,181.0,516.0,174.0,33.86,-117.93,1.825
4192,2.2843,28.0,1546.0,465.0,974.0,408.0,34.12,-118.23,1.838
3034,4.5903,13.0,1264.0,202.0,552.0,187.0,35.39,-119.12,0.943
8980,3.9643,46.0,105.0,20.0,69.0,19.0,34.0,-118.41,2.75
18012,5.3561,29.0,2658.0,484.0,1318.0,498.0,37.27,-121.98,2.989
8008,4.8393,36.0,2418.0,389.0,1138.0,387.0,33.85,-118.11,2.163
7419,2.3221,44.0,2144.0,477.0,1760.0,452.0,33.96,-118.2,1.616
8809,9.8091,4.0,311.0,51.0,128.0,46.0,33.75,-118.41,5.00001
4663,2.2937,42.0,443.0,223.0,582.0,223.0,34.05,-118.31,3.5
17184,4.5625,21.0,1209.0,309.0,801.0,259.0,37.5,-122.49,5.0
16640,1.9647,23.0,1932.0,487.0,1380.0,472.0,35.29,-120.66,2.536
2537,2.1746,20.0,2332.0,518.0,1856.0,495.0,39.74,-122.01,0.587
17865,7.7197,26.0,40.0,8.0,52.0,7.0,37.42,-121.89,2.25
1293,5.3245,8.0,2371.0,375.0,1094.0,396.0,38.0,-121.78,1.745
13763,1.3906,38.0,281.0,55.0,151.0,52.0,34.06,-117.12,1.208
8231,1.9797,22.0,1118.0,437.0,1190.0,399.0,33.77,-118.2,1.438
17970,3.73,11.0,1711.0,493.0,1094.0,543.0,37.32,-121.96,2.277
6139,3.7736,32.0,2910.0,709.0,2583.0,670.0,34.07,-117.96,1.584
362,7.6923,28.0,794.0,111.0,329.0,109.0,37.75,-122.12,3.298
10811,3.0708,24.0,2539.0,695.0,1623.0,611.0,33.64,-117.92,1.887
4783,1.9018,39.0,2840.0,826.0,1911.0,688.0,34.03,-118.33,1.375
753,3.875,38.0,2104.0,409.0,1039.0,394.0,37.67,-122.07,1.653
2882,1.3451,30.0,1390.0,361.0,1116.0,298.0,35.38,-118.99,0.575
16744,4.7639,49.0,2244.0,442.0,1948.0,423.0,37.71,-122.45,2.515
17832,5.5073,16.0,2938.0,589.0,1718.0,568.0,37.41,-121.86,1.789
2333,4.9327,8.0,943.0,189.0,475.0,155.0,36.83,-119.69,0.895
773,4.1302,36.0,1755.0,316.0,913.0,299.0,37.66,-122.11,1.727
17843,6.2892,22.0,3805.0,596.0,2118.0,621.0,37.43,-121.87,2.542
11411,6.1181,18.0,4827.0,718.0,2471.0,716.0,33.7,-117.94,2.845
9338,4.4375,40.0,7737.0,1488.0,3108.0,1349.0,37.99,-122.61,2.896
6185,4.375,33.0,1921.0,397.0,1492.0,393.0,34.1,-117.92,1.505
6865,2.5321,35.0,1729.0,438.0,1308.0,412.0,34.06,-118.12,1.972
4493,1.0714,36.0,1243.0,470.0,1668.0,444.0,34.05,-118.22,1.375
1688,6.0289,23.0,3455.0,479.0,1375.0,474.0,37.98,-122.27,2.186
8770,5.0254,36.0,716.0,123.0,388.0,124.0,33.79,-118.34,3.5
10291,5.2131,5.0,6971.0,1449.0,3521.0,1423.0,33.87,-117.83,2.439
3368,2.6765,26.0,2399.0,518.0,1037.0,443.0,40.26,-120.2,0.476
10975,3.6806,22.0,378.0,78.0,196.0,81.0,33.76,-117.84,2.194
7585,2.3542,40.0,1802.0,496.0,2096.0,468.0,33.9,-118.22,0.979
12576,3.1208,36.0,1488.0,294.0,846.0,279.0,38.53,-121.43,0.827
20224,2.6333,41.0,1445.0,410.0,1052.0,388.0,34.29,-119.3,1.708
19082,2.7727,19.0,2398.0,521.0,1266.0,471.0,38.31,-122.48,1.868
15065,1.8357,24.0,2493.0,693.0,1420.0,643.0,32.8,-116.96,1.042
13760,6.3308,33.0,4583.0,648.0,1760.0,638.0,34.03,-117.17,2.306
1120,2.3068,24.0,1535.0,276.0,664.0,273.0,39.77,-121.59,0.973
18397,4.5221,16.0,1617.0,306.0,667.0,264.0,37.22,-121.77,1.911
10464,10.3983,31.0,5112.0,778.0,1530.0,648.0,33.49,-117.73,5.00001
6696,3.5804,45.0,3066.0,659.0,1287.0,625.0,34.14,-118.1,3.244
6013,2.2258,25.0,1712.0,491.0,1807.0,478.0,34.06,-117.78,1.148
20431,6.2893,16.0,1466.0,196.0,661.0,209.0,34.21,-118.8,2.827
13315,2.0893,41.0,465.0,130.0,349.0,138.0,34.06,-117.65,1.125
19227,6.6104,15.0,5645.0,830.0,2324.0,769.0,38.5,-122.71,3.309
3586,3.0321,32.0,4039.0,984.0,2675.0,941.0,34.23,-118.53,2.4
12011,6.1561,12.0,2290.0,319.0,728.0,228.0,33.92,-117.53,2.335
12101,5.5563,13.0,7910.0,1195.0,3382.0,1176.0,33.94,-117.34,2.145
977,10.9506,20.0,1309.0,184.0,514.0,172.0,37.64,-121.88,4.758
5657,5.249,52.0,1665.0,280.0,656.0,282.0,33.73,-118.31,3.519
18500,3.6964,39.0,759.0,141.0,252.0,106.0,37.37,-121.55,2.625
4692,3.4265,52.0,2046.0,451.0,944.0,435.0,34.07,-118.36,4.569
17071,4.3594,14.0,1472.0,291.0,876.0,292.0,37.52,-122.25,3.66
17887,5.4228,24.0,5230.0,934.0,3795.0,970.0,37.39,-121.95,2.641
20124,2.4167,28.0,1000.0,206.0,545.0,154.0,34.42,-118.75,1.917
11136,4.1325,13.0,6963.0,1426.0,3892.0,1375.0,33.85,-117.95,2.035
11616,3.6217,20.0,1379.0,333.0,937.0,304.0,33.8,-118.06,1.953
15363,6.2475,12.0,2924.0,433.0,1193.0,394.0,33.31,-117.22,3.313
16483,3.5774,14.0,2591.0,497.0,1371.0,479.0,38.16,-121.14,1.139
3784,3.3177,46.0,2609.0,593.0,1055.0,585.0,34.16,-118.38,3.094
16818,4.8096,16.0,8676.0,1633.0,5130.0,1574.0,37.65,-122.46,2.62
11248,3.7059,17.0,2142.0,436.0,946.0,412.0,33.81,-118.0,1.463
5401,3.3542,44.0,904.0,176.0,358.0,158.0,34.03,-118.42,3.442
20498,6.1834,25.0,1678.0,252.0,862.0,268.0,34.29,-118.7,2.298
13673,4.4472,18.0,5761.0,1063.0,2763.0,1058.0,34.04,-117.25,1.611
4163,3.4227,26.0,1638.0,457.0,1155.0,437.0,34.11,-118.19,1.438
256,2.2604,43.0,1017.0,328.0,836.0,277.0,37.77,-122.21,1.0
18770,2.0221,25.0,2596.0,557.0,1536.0,549.0,40.45,-122.31,0.604
821,3.8625,12.0,6711.0,1374.0,3388.0,1289.0,37.63,-122.06,2.089
5248,15.0001,46.0,778.0,90.0,238.0,93.0,34.08,-118.43,5.00001
18382,6.6659,7.0,5389.0,903.0,2232.0,825.0,37.23,-121.83,5.00001
415,7.266,52.0,2640.0,366.0,973.0,355.0,37.89,-122.27,3.711
3897,4.1806,35.0,1614.0,308.0,850.0,330.0,34.2,-118.51,2.09
12612,3.5737,30.0,3377.0,623.0,1289.0,594.0,38.53,-121.52,1.712
20249,5.6756,12.0,15201.0,2418.0,7132.0,2251.0,34.21,-119.25,3.018
18597,4.425,35.0,1541.0,297.0,791.0,277.0,37.08,-122.08,2.048
16232,4.061,52.0,2980.0,537.0,1128.0,510.0,37.97,-121.3,1.136
5215,1.1434,43.0,1113.0,378.0,1305.0,334.0,33.94,-118.25,0.913
11629,3.3155,21.0,1189.0,281.0,577.0,264.0,33.81,-118.08,2.375
1572,4.6042,20.0,2206.0,458.0,926.0,432.0,37.82,-122.0,2.564
2049,2.2437,9.0,1621.0,428.0,678.0,394.0,36.73,-119.73,0.542
14838,2.0398,49.0,1412.0,350.0,1200.0,332.0,32.68,-117.1,0.936
13049,3.6817,21.0,9774.0,1777.0,4674.0,1712.0,38.59,-121.32,1.361
6697,6.0948,52.0,2401.0,332.0,810.0,308.0,34.14,-118.11,3.587
2896,1.4125,52.0,425.0,119.0,380.0,97.0,35.37,-118.97,0.425
4358,3.9783,52.0,2946.0,695.0,1258.0,650.0,34.08,-118.37,3.741
8268,3.7838,36.0,2006.0,453.0,807.0,426.0,33.74,-118.17,5.00001
12010,3.4459,21.0,1839.0,324.0,871.0,307.0,33.9,-117.55,1.988
16600,1.6303,14.0,3487.0,889.0,2352.0,796.0,35.65,-120.69,1.449
9058,3.4327,35.0,2118.0,374.0,1108.0,360.0,34.69,-118.14,1.003
6891,2.913,26.0,1495.0,328.0,1296.0,304.0,34.05,-118.1,1.523
13791,3.7361,5.0,2884.0,567.0,1396.0,465.0,34.41,-117.51,1.196
2489,3.0134,29.0,1938.0,434.0,1306.0,415.0,36.13,-120.36,0.555
16394,6.6605,29.0,2465.0,327.0,859.0,315.0,38.03,-121.25,2.207
8889,3.6451,32.0,6365.0,1784.0,2767.0,1698.0,34.03,-118.5,3.833
3448,3.6292,36.0,1430.0,331.0,1502.0,312.0,34.25,-118.42,1.452
18977,3.8583,11.0,6550.0,1149.0,3570.0,1123.0,38.25,-122.01,1.379
775,4.5417,25.0,2538.0,494.0,1185.0,501.0,37.65,-122.1,1.944
20506,6.9454,8.0,4983.0,754.0,2510.0,725.0,34.29,-118.73,2.765
4275,2.1866,29.0,732.0,288.0,691.0,278.0,34.1,-118.33,2.5
3079,2.5806,20.0,3458.0,651.0,1465.0,621.0,35.44,-119.01,0.825
6009,1.9937,33.0,1831.0,486.0,1625.0,472.0,34.06,-117.76,1.036
19537,1.3696,23.0,505.0,124.0,163.0,129.0,37.65,-120.92,2.75
5160,1.5313,23.0,1983.0,611.0,2048.0,600.0,33.96,-118.28,0.914
7880,5.0417,15.0,3254.0,598.0,1772.0,618.0,33.87,-118.11,2.408
4827,1.9531,31.0,2206.0,501.0,1194.0,435.0,34.03,-118.32,2.278
17454,4.7946,18.0,1868.0,315.0,747.0,265.0,34.69,-120.37,2.906
6835,3.0,35.0,2248.0,615.0,1762.0,622.0,34.08,-118.12,2.539
11875,3.3622,19.0,4592.0,895.0,2769.0,838.0,34.0,-117.36,1.051
11500,4.0238,15.0,1836.0,490.0,942.0,477.0,33.72,-118.04,1.825
13482,4.1581,22.0,5640.0,889.0,3157.0,887.0,34.12,-117.35,1.265
3243,1.5727,16.0,1461.0,400.0,1201.0,384.0,36.1,-119.57,0.548
3166,2.0921,29.0,1401.0,317.0,1344.0,306.0,35.27,-118.91,0.614
2670,2.4511,37.0,709.0,187.0,390.0,142.0,33.2,-115.6,0.725
1153,2.9562,14.0,5549.0,1000.0,1822.0,919.0,39.54,-121.46,1.423
4498,1.3846,26.0,745.0,258.0,694.0,236.0,34.05,-118.21,1.292
7044,5.2162,35.0,1945.0,357.0,1227.0,359.0,33.95,-118.04,1.719
7931,4.7953,26.0,6960.0,1454.0,4367.0,1437.0,33.84,-118.06,2.109
13534,3.7949,13.0,3616.0,665.0,2189.0,620.0,34.17,-117.33,1.063
3940,5.0462,34.0,1943.0,320.0,895.0,305.0,34.21,-118.59,2.277
6157,2.2679,39.0,1076.0,338.0,1242.0,332.0,34.08,-117.96,1.518
17333,5.299,12.0,3189.0,463.0,1200.0,442.0,34.91,-120.44,2.268
18836,1.8694,36.0,3319.0,664.0,1492.0,631.0,41.73,-122.64,0.712
631,3.663,5.0,1692.0,398.0,814.0,328.0,37.72,-122.17,1.583
11766,2.5083,21.0,4812.0,1117.0,1985.0,1045.0,38.75,-121.27,1.285
3315,3.0466,11.0,5175.0,971.0,2144.0,792.0,38.97,-122.78,0.973
19391,2.2679,25.0,421.0,102.0,303.0,106.0,37.78,-120.85,0.713
1243,2.2754,23.0,3832.0,774.0,2435.0,747.0,39.0,-122.13,0.592
13060,3.1194,17.0,1671.0,378.0,848.0,351.0,38.6,-121.28,1.125
18332,4.2297,47.0,4234.0,1156.0,1808.0,1093.0,37.45,-122.16,4.25
16706,4.5461,16.0,2819.0,479.0,1068.0,365.0,35.1,-120.3,2.708
20023,3.2042,11.0,2265.0,382.0,1285.0,387.0,36.07,-119.07,0.762
13701,2.2109,23.0,1920.0,454.0,1161.0,358.0,34.11,-117.24,0.732
2027,2.875,24.0,1240.0,265.0,1035.0,232.0,36.72,-119.76,0.606
10734,4.498,34.0,3415.0,779.0,1275.0,718.0,33.6,-117.87,4.829
6807,4.2833,44.0,2352.0,484.0,1517.0,463.0,34.09,-118.1,2.58
17963,5.357,28.0,5096.0,1011.0,2588.0,954.0,37.3,-122.0,3.552
18326,7.5418,52.0,1135.0,219.0,441.0,200.0,37.45,-122.16,4.92
9242,2.5388,12.0,1790.0,379.0,1399.0,397.0,36.98,-120.07,0.596
20631,3.5179,15.0,2655.0,493.0,1200.0,432.0,39.33,-121.4,1.072
17470,7.4734,26.0,4382.0,618.0,1728.0,587.0,34.47,-119.81,4.322
2900,1.4779,44.0,593.0,136.0,364.0,121.0,35.37,-119.01,0.66
15697,10.7097,52.0,1457.0,215.0,495.0,208.0,37.79,-122.45,5.00001
6308,3.8125,37.0,682.0,172.0,813.0,173.0,34.05,-118.01,1.38
12966,3.2444,16.0,2966.0,578.0,1365.0,480.0,38.7,-121.32,1.184
4398,3.1607,42.0,1618.0,522.0,1454.0,440.0,34.08,-118.28,1.82
16571,4.8021,45.0,818.0,144.0,340.0,138.0,37.74,-121.42,1.335
3273,3.5652,16.0,1548.0,295.0,605.0,250.0,39.05,-122.92,1.19
12377,3.2846,19.0,12467.0,2508.0,4086.0,1761.0,33.73,-116.31,1.319
